Referenza,Pershkrim,ml/g,Barcode,P.V.P. 2017,Sasia,CM.BLERJE.,Cmimi,,,,,,,
F002436000,Lait Pureté Démaquillant,200,3348900956056,€ 31.76,10,15.88,158.79,,,,,,,
F002416000,Lotion Pureté Tonifiante,200,3348900956070,€ 31.76,6,15.88,95.28,,,,,,,
F002445000,Mousse Pureté Nettoyante,125,3348900956063,€ 31.76,20,15.88,317.59,,,,,,,
,TUTTI I TIPI DI PELLE - EXPRESS,,,€ 0.00,,,,,,,,,,
F002536000,Eau Micellaire Démaquillante Express,200,3348900953222,€ 34.93,,,,,,,,,,
F002636000,Huile Douceur Démaquillante Express ,200,3348900953253,€ 34.93,,,,,,,,,,
F002515000,Duo Express Démaquillant Yeux ,125,3348900953239,€ 31.76,15,15.88,238.19,,,,,,,
F002544000,Doux Gommage Express ,75,3348900953246,€ 41.99,,,,,,,,,,
,ONE ESSENTIAL,,,€ 0.00,,,,,,,,,,
F073032000,One Essential ,30,3348901197731,€ 87.96,,,,,,,,,,
F073033000,One Essential ,50,3348901197748,€ 117.48,1,,,,,,,,,
,HYDRA LIFE,,,€ 0.00,,,,,,,,,,
F034432000,Sérum Sorbet,30,3348901252775,€ 69.65,,,,,,,,,,
F034953000,Crème Sorbet,50,3348901252782,€ 59.41,50,29.71,1485.28,,,,,,,
F034052000,Crème Soyeuse Pro-Jeunesse,50,3348900911673,€ 59.41,50,29.71,1485.28,,,,,,,
F037055000,Crème Sorbet Yeux Pro-Jeunesse,15,3348900911703,€ 49.16,20,24.58,491.56,,,,,,,
,MASCHERE,,,€ 0.00,,,,,,,,,,
F030144000,Masque Réhydratant ,75,3348900944909,€ 46.12,,,,,,,,,,
F030153000,Jelly Sleeping Mask,50,3348901288415,€ 68.11,,,,,,,,,,
,TRATTAMENTO RIDUTTORE PORI,,,€ 0.00,,,,,,,,,,
F037933000,Close-Up,50,3348901199728,€ 72.98,,,,,,,,,,
F045212000,HYDRA LIFE BB CREME,,,€ 0.00,,,,,,,,,,
F045212001,Water BB Crème 001,30,3348901288439,€ 52.89,10,26.45,264.46,,,,,,,
F045212002,Water BB Crème 002,30,3348901288446,€ 52.89,10,26.45,264.46,,,,,,,
F045212003,Water BB Crème 003,30,3348901288453,€ 52.89,,,,,,,,,,
F045143001,BB Crème Beige Lumière,50,3348901151818,€ 58.77,,,,,,,,,,
F045143000,BB Crème Pêche Dorée,50,3348901085427,€ 58.77,,,,,,,,,,
F045143003,BB Crème Ocre Soleil,50,3348901151832,€ 58.77,,,,,,,,,,
,CAPTURE TOTALE,,,€ 0.00,,,,,,,,,,
F060632000,Haute Nutrition Sérum Oil,30,3348901170222,€ 145.95,,,,,,,,,,
F061211005,Sérum Yeux,15,3348901250092,€ 104.40,,,,,,,,,,
F066732000,Sérum,30,3348901224932,€ 145.95,,,,,,,,,,
F066733000,Sérum ,50,3348901224956,€ 196.23,,,,,,,,,,
F060850000,Capture Totale Crème Légère,60,3348901259057,€ 161.58,,,,,,,,,,
F060450000,Capture Totale Crème Universelle,60,3348901259019,€ 161.58,,,,,,,,,,
F060350000,Capture Totale Crème Riche,60,3348901259095,€ 161.58,,,,,,,,,,
F060531000,Soin Regard Multi-Perfection ,15,3348901112970,€ 94.91,,,,,,,,,,
F065844005,Haute Nutrition Crème Mains Repair SPF 15,75,3348901151740,€ 62.49,,,,,,,,,,
,CAPTURE TOTALE DREAMSKIN,,,€ 0.00,,,,,,,,,,
F029032000,Dreamskin,30,3348901204767,€ 102.71,,,,,,,,,,
F029033000,Dreamskin ,50,3348901256841,€ 137.31,,,,,,,,,,
F029132000,Dreamskin Advanced ,30,3348901293747,€ 102.71,,,,,,,,,,
F029233000,Dreamskin Advanced Sleeve ,50,3348901327169,€ 137.31,10,68.65,686.55,,,,,,,
F029044000,Dreamskin Advanced Mask ,75,3348901296618,€ 67.58,,,,,,,,,,
F029390000,DREAMSKIN PERFECT SKIN CUSHION,,,€ 78.91,,,,,,,,,,
F029390010,Dreamskin Perfect Skin Cushion 010,15gr,3348901294867,€ 78.91,,,,,,,,,,
F029390020,Dreamskin Perfect Skin Cushion 020,15gr,3348901294874,€ 78.91,,,,,,,,,,
F029390025,Dreamskin Perfect Skin Cushion 025,15 gr,3348901352673,€ 78.91,,,,,,,,,,
F029390030,Dreamskin Perfect Skin Cushion 030,15gr,3348901294881,€ 78.91,,,,,,,,,,
F029399010,Dreamskin Perfect Skin Cushion Réfill 010,15gr,3348901302906,€ 41.14,,,,,,,,,,
F029399020,Dreamskin Perfect Skin Cushion Réfill 020,15gr,3348901303019,€ 41.14,,,,,,,,,,
F029399025,Dreamskin Perfect Skin Cushion Réfill 025,15gr,3348901352703,€ 41.14,,,,,,,,,,
F029399030,Dreamskin Perfect Skin Cushion Réfill 030,15gr,3348901303026,€ 41.14,,,,,,,,,,
,CAPTURE TOTALE NOTTE,,,€ 0.00,,,,,,,,,,
F061850000,Crème Nuit Multi Perfection ,60,3348901189071,€ 170.82,,,,,,,,,,
,CAPTURE TOTALE RICARICHE,,,€ 0.00,,,,,,,,,,
F066733099,Sérum Refill,50,3348901233668,€ 166.79,,,,,,,,,,
F060850099,Capture Totale Crème Légère Refill,60,3348901259071,€ 137.35,,,,,,,,,,
F060450099,Capture Totale Crème Universelle Refill,60,3348901259033,€ 137.35,,,,,,,,,,
F060350099,Capture Totale Crème Riche Refill,60,3348901259118,€ 137.35,,,,,,,,,,
F060750999,Crème Nuit Multi Perfection Refill,60,3348901205566,€ 145.19,,,,,,,,,,
F029433099,Dreamskin Refill,50,3348901239899,€ 116.76,,,,,,,,,,
F029133099,Dreamskin Advanced Réfill,50,3348901293761,€ 116.76,,,,,,,,,,
,CAPTURE XP,,,€ 0.00,,,,,,,,,,
F053433000,Capture XP  Sérum ,50,3348901055741,€ 129.06,20,64.53,1290.59,,,,,,,
F053653000,Capture XP Crème Riche ,50,3348901056052,€ 104.69,30,52.35,1570.42,,,,,,,
F053753000,Capture XP Crème Légère ,50,3348901056083,€ 104.69,30,52.35,1570.42,,,,,,,
F056851000,Capture XP Crème Yeux,15,3348901056090,€ 67.62,20,33.81,676.24,,,,,,,
,DIOR PRESTIGE,,,€ 0.00,,,66273.39089,,,,,,,
F067856004,Crème Démaquillante,200,3348901182966,€ 75.43,,,,,,,,,,
F068445004,Mousse Démaquillante,120,3348901183000,€ 64.65,,,,,,,,,,
F068716000,Essence Initiale,200,3348901122160,€ 90.92,,,,,,,,,,
F067032000,Le Nectar Sérum,30,3348901243520,€ 353.35,,,,,,,,,,
F067053000,La Crème ,50,3348901243537,€ 332.86,,,,,,,,,,
F067053099,La Crème Refill,50,3348901258999,€ 282.95,,,,,,,,,,
F065751000,Le Concentré Yeux,15,3348901271585,€ 164.07,,,,,,,,,,
F065761099,Le Concentré Yeux Refill,15,3348901281508,€ 139.45,,,,,,,,,,
F067233000,Huile Souveraine,50,3348901075060,€ 356.76,,,,,,,,,,
F067953000,Crème Souveraine,50,3348901075046,€ 343.99,,,,,,,,,,
F067500000,Masque Satin Fermeté Révitalisant ,1 x 6,3348901024662,€ 150.37,,,,,,,,,,
F040953000,Le Grande Masque,50,3348901162265,€ 203.26,,,,,,,,,,
F068232000,Le Nectar de Nuit,30,3348901190824,€ 416.31,,,,,,,,,,
,SOIN CORPS,,,€ 0.00,,,,,,,,,,
,DIOR SVELTE,,,€ 0.00,,,,,,,,,,
F026836000,Body Desire,200,3348901069427,€ 79.79,,,,,,,,,,
,SOLAIRES,,,€ 0.00,,,,,,,,,,
,DIOR BRONZE,,,€ 0.00,,,,,,,,,,
,AUTO- ABBRONZANTI,,,€ 0.00,,,,,,,,,,
F021543700,Autobronzant Eclat Naturel Visage,50,3348900788343,€ 37.46,,,,,,,,,,
F021545700,Autobronzant Eclat Naturel Corps,120,3348900788350,€ 40.46,,,,,,,,,,
F028124000,Huile Autobronzant Corps,100,3348901069366,€ 43.69,,,,,,,,,,
,PROTEZIONE SOLARE,,,€ 0.00,,,,,,,,,,
F021125000,"Huile Protectrice Visage, Corps & Cheveux SPF 15 ",125,3348901292757,€ 43.36,,,,,,,,,,
F021225000,Lait en Brume Protecteur Visage & Corps SPF 30,125,3348901292771,€ 43.36,,,,,,,,,,
F021143000,Crème Visage SPF 30,50,3348901292795,€ 34.91,,,,,,,,,,
F021443000,Crème Visage SPF 50,50,3348901292801,€ 34.91,,,,,,,,,,
,DOPO SOLE,,,€ 0.00,,,,,,,,,,
F021845000,Baume de Monoi Après-Soleil,150,3348900959606,€ 37.46,,,,,,,,,,
,SOIN VISAGE HOMME,,,€ 0.00,,,,,,,,,,
,DIOR HOMME DERMO SYSTEM,,,€ 0.00,,,,,,,,,,
F064041600,Gel Nettoyant Micro-Purifiant,125,3348900793347,€ 38.82,2,,,,,,,,,
F062335600,Lotion Après-Rasage Réparatrice,100,3348900760752,€ 52.44,,,,,,,,,,
F064433600,Soin Fermeté Age  Control,50,3348900760738,€ 78.21,2,,,,,,,,,
F063535000,Sérum Yeux Tenseur Défatigant,15,3348900905023,€ 53.61,2,,,,,,,,,
F064533600,Émulsion Hydratante Réparatrice ,50,3348900760745,€ 65.64,2,,,,,,,,,
F060013700,Baume Nourrissant Régénérant (pot),50,3348900831193,€ 65.64,2,,,,,,,,,
,,,,,,,66273.39,,,,,,,
,,,,,,,,,,,,,,
